date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:41	8875/8875	---MCZ	200	added ('OK')	text/html	etag:%22u-mWyg%22	http://www.3dscade.com/main.html	E:/New%20folder/TDKCADE/3DSCADE/www.3dscade.com/main.html	(from )
17:45:42	287/287	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Jul%202023%2021:46:39%20GMT	http://www.3dscade.com/robots.txt		(from )
17:45:44	32046/32046	---MC-	200	added ('OK')	application/x-javascript	etag:%22u-mWyg%22	http://www.3dscade.com/js/jquery.cycle.all.min.js	E:/New%20folder/TDKCADE/3DSCADE/www.3dscade.com/js/jquery.cycle.all.min.js	(from http://www.3dscade.com/main.html)
17:45:44	5496/5496	---MC-	200	added ('OK')	image/png	etag:%22u-mWyg%22	http://www.3dscade.com/menus/mask-selected.png	E:/New%20folder/TDKCADE/3DSCADE/www.3dscade.com/menus/mask-selected.png	(from http://www.3dscade.com/main.html)
17:45:44	685/685	---MC-	200	added ('OK')	image/png	etag:%22u-mWyg%22	http://www.3dscade.com/images/dotoff.png	E:/New%20folder/TDKCADE/3DSCADE/www.3dscade.com/images/dotoff.png	(from http://www.3dscade.com/main.html)
17:45:45	785/785	---MC-	200	added ('OK')	image/png	etag:%22u-mWyg%22	http://www.3dscade.com/images/doton.png	E:/New%20folder/TDKCADE/3DSCADE/www.3dscade.com/images/doton.png	(from http://www.3dscade.com/main.html)
17:45:45	6949/6949	---MC-	200	added ('OK')	image/png	etag:%22u-mWyg%22	http://www.3dscade.com/images/logo.png	E:/New%20folder/TDKCADE/3DSCADE/www.3dscade.com/images/logo.png	(from http://www.3dscade.com/main.html)
17:45:45	5702/5702	---MCZ	200	added ('OK')	text/html	etag:%22u-mWyg%22	http://www.3dscade.com/snake/index.html	E:/New%20folder/TDKCADE/3DSCADE/www.3dscade.com/snake/index.html	(from http://www.3dscade.com/main.html)
17:45:46	1505/1505	---MC-	200	added ('OK')	image/png	etag:%22u-mWyg%22	http://www.3dscade.com/menus/snake.png	E:/New%20folder/TDKCADE/3DSCADE/www.3dscade.com/menus/snake.png	(from http://www.3dscade.com/main.html)
17:45:46	6817/6817	---MC-	200	added ('OK')	image/png	etag:%22u-mWyg%22	http://www.3dscade.com/menus/mask-gray.png	E:/New%20folder/TDKCADE/3DSCADE/www.3dscade.com/menus/mask-gray.png	(from http://www.3dscade.com/main.html)
17:45:47	323/323	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2011%20Jul%202023%2021:46:45%20GMT	http://www.3dscade.com/album/index.jsp	E:/New%20folder/TDKCADE/3DSCADE/www.3dscade.com/album/index.a.delayed	(from http://www.3dscade.com/main.html)
17:45:48	13787/13787	---MC-	200	added ('OK')	image/png	etag:%22u-mWyg%22	http://www.3dscade.com/menus/album.png	E:/New%20folder/TDKCADE/3DSCADE/www.3dscade.com/menus/album.png	(from http://www.3dscade.com/main.html)
17:45:48	14997/14997	---MCZ	200	added ('OK')	text/html	etag:%22u-mWyg%22	http://www.3dscade.com/terraintumbler/index.html	E:/New%20folder/TDKCADE/3DSCADE/www.3dscade.com/terraintumbler/index.html	(from http://www.3dscade.com/main.html)
17:45:49	78601/78601	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.4.4/jquery.min.js	E:/New%20folder/TDKCADE/3DSCADE/ajax.googleapis.com/ajax/libs/jquery/1.4.4/jquery.min.js	(from http://www.3dscade.com/main.html)
17:45:49	8726/8726	---MC-	200	added ('OK')	image/png	etag:%22u-mWyg%22	http://www.3dscade.com/menus/terraintumbler.png	E:/New%20folder/TDKCADE/3DSCADE/www.3dscade.com/menus/terraintumbler.png	(from http://www.3dscade.com/main.html)
